,YearsExperience,Salary,annual_data
0,1.1,39343.0,472116.0
1,1.3,46205.0,554460.0
2,1.5,37731.0,452772.0
3,2.0,43525.0,522300.0
4,2.2,39891.0,478692.0
5,2.9,56642.0,679704.0
6,3.0,60150.0,721800.0
7,3.2,54445.0,653340.0
8,3.2,64445.0,773340.0
9,3.7,57189.0,686268.0
10,3.9,63218.0,758616.0
11,4.0,55794.0,669528.0
12,4.0,56957.0,683484.0
13,4.1,57081.0,684972.0
14,4.5,61111.0,733332.0
15,4.9,67938.0,815256.0
16,5.1,66029.0,792348.0
17,5.3,83088.0,997056.0
18,5.9,81363.0,976356.0
19,6.0,93940.0,1127280.0
20,6.8,91738.0,1100856.0
21,7.1,98273.0,1179276.0
22,7.9,101302.0,1215624.0
23,8.2,113812.0,1365744.0
24,8.7,109431.0,1313172.0
25,9.0,105582.0,1266984.0
26,9.5,116969.0,1403628.0
27,9.6,112635.0,1351620.0
28,10.3,122391.0,1468692.0
29,10.5,121872.0,1462464.0
